,Filename,Filepath,Gender,Emotion,Emotional Intensity
0,03-01-01-01-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-01-01-01.wav,male,neutral,medium
1,03-01-01-01-01-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-01-02-01.wav,male,neutral,medium
2,03-01-01-01-02-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-02-01-01.wav,male,neutral,medium
3,03-01-01-01-02-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-02-02-01.wav,male,neutral,medium
4,03-01-02-01-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-01-01-01.wav,male,neutral,medium
5,03-01-02-01-01-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-01-02-01.wav,male,neutral,medium
6,03-01-02-01-02-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-02-01-01.wav,male,neutral,medium
7,03-01-02-01-02-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-02-02-01.wav,male,neutral,medium
8,03-01-02-02-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-01-01-01.wav,male,neutral,high
9,03-01-02-02-01-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-01-02-01.wav,male,neutral,high
10,03-01-02-02-02-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-02-01-01.wav,male,neutral,high
11,03-01-02-02-02-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-02-02-01.wav,male,neutral,high
12,03-01-03-01-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-01-01-01.wav,male,happy,medium
13,03-01-03-01-01-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-01-02-01.wav,male,happy,medium
14,03-01-03-01-02-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-02-01-01.wav,male,happy,medium
15,03-01-03-01-02-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-02-02-01.wav,male,happy,medium
16,03-01-03-02-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-01-01-01.wav,male,happy,high
17,03-01-03-02-01-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-01-02-01.wav,male,happy,high
18,03-01-03-02-02-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-02-01-01.wav,male,happy,high
19,03-01-03-02-02-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-02-02-01.wav,male,happy,high
20,03-01-04-01-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-01-01-01.wav,male,sad,medium
21,03-01-04-01-01-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-01-02-01.wav,male,sad,medium
22,03-01-04-01-02-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-02-01-01.wav,male,sad,medium
23,03-01-04-01-02-02-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-02-02-01.wav,male,sad,medium
24,03-01-04-02-01-01-01.wav,Data/speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-01-01-01.wav,male,sad,high
